date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:53:52	36937/36937	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2017:42:22%20GMT	https://marketifythemes.net/html/dizme/index-dark.html	marketifythemes.net/html/dizme/index-dark.html	(from )
02:53:53	1144/1144	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/robots.txt		(from )
02:53:54	192270/192270	---MCZ	200	added ('OK')	text/css	etag:W/%2240996-62264400-47e4efec5a9f3b05;gz%22	https://marketifythemes.net/html/dizme/css/plugins.css	marketifythemes.net/html/dizme/css/plugins.css	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:53:55	4980/4980	---MCZ	200	added ('OK')	text/css	etag:W/%221788-622643ff-6cc13359d57ff722;gz%22	https://marketifythemes.net/html/dizme/css/dark.css	marketifythemes.net/html/dizme/css/dark.css	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:53:56	53764/53764	---MCZ	200	added ('OK')	text/css	etag:W/%2211013-622643ff-3de7e6c021c8855a;gz%22	https://marketifythemes.net/html/dizme/css/style.css	marketifythemes.net/html/dizme/css/style.css	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:53:56	4261/4261	---M--	200	added ('OK')	image/png	etag:%2210a5-62264403-bb9196b8c7b4c002;;;%22	https://marketifythemes.net/html/dizme/img/logo/dark.png	marketifythemes.net/html/dizme/img/logo/dark.png	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:53:58	48943/48943	---M--	200	added ('OK')	image/jpeg	etag:%22bf2f-62264402-c42a136b57407475;;;%22	https://marketifythemes.net/html/dizme/img/cv/1.jpg	marketifythemes.net/html/dizme/img/cv/1.jpg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:53:58	79897/79897	---M--	200	added ('OK')	image/jpeg	etag:%2213819-62264406-4310522e015cf63c;;;%22	https://marketifythemes.net/html/dizme/img/slider/2.jpg	marketifythemes.net/html/dizme/img/slider/2.jpg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:00	904230/904230	---M--	200	added ('OK')	image/png	etag:%22dcc26-62264408-451af4e01fed720f;;;%22	https://marketifythemes.net/html/dizme/img/slider/avatar.png	marketifythemes.net/html/dizme/img/slider/avatar.png	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:00	1645/1645	---M-Z	200	added ('OK')	image/svg+xml	etag:%2266d-6226440a-b31f0a964d4bbef8;gz%22	https://marketifythemes.net/html/dizme/img/svg/skills/illustrator.svg	marketifythemes.net/html/dizme/img/svg/skills/illustrator.svg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:01	1930/1930	---M-Z	200	added ('OK')	image/svg+xml	etag:%2278a-6226440a-7f61debf1e90edd1;gz%22	https://marketifythemes.net/html/dizme/img/svg/skills/photoshop.svg	marketifythemes.net/html/dizme/img/svg/skills/photoshop.svg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:02	855/855	---M-Z	200	added ('OK')	image/svg+xml	etag:%22357-6226440a-87de2d67507edb82;gz%22	https://marketifythemes.net/html/dizme/img/svg/skills/figma.svg	marketifythemes.net/html/dizme/img/svg/skills/figma.svg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:03	6340/6340	---M--	200	added ('OK')	image/png	etag:%2218c4-6226440a-a45ed3583fa1a3b8;;;%22	https://marketifythemes.net/html/dizme/img/brushes/process/dark/1.png	marketifythemes.net/html/dizme/img/brushes/process/dark/1.png	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:04	2824/2824	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b08-62264409-51a760235064d580;gz%22	https://marketifythemes.net/html/dizme/img/svg/process/target-2.svg	marketifythemes.net/html/dizme/img/svg/process/target-2.svg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:05	6519/6519	---M--	200	added ('OK')	image/png	etag:%221977-6226440a-4e52f2c2e9a30a32;;;%22	https://marketifythemes.net/html/dizme/img/brushes/process/dark/2.png	marketifythemes.net/html/dizme/img/brushes/process/dark/2.png	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:06	1500/1500	---M-Z	200	added ('OK')	image/svg+xml	etag:%225dc-62264409-bce55e686fdbc38;gz%22	https://marketifythemes.net/html/dizme/img/svg/process/brush-2.svg	marketifythemes.net/html/dizme/img/svg/process/brush-2.svg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:07	6486/6486	---M--	200	added ('OK')	image/png	etag:%221956-6226440a-545fb25f5ef7d2dc;;;%22	https://marketifythemes.net/html/dizme/img/brushes/process/dark/3.png	marketifythemes.net/html/dizme/img/brushes/process/dark/3.png	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:08	2693/2693	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a85-62264409-f25d625cdba850bd;gz%22	https://marketifythemes.net/html/dizme/img/svg/process/energy-2.svg	marketifythemes.net/html/dizme/img/svg/process/energy-2.svg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:09	91542/91542	---M--	200	added ('OK')	image/jpeg	etag:%2216596-62264402-5ea6b4dc778bf7ff;;;%22	https://marketifythemes.net/html/dizme/img/about/2.jpg	marketifythemes.net/html/dizme/img/about/2.jpg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:10	6469/6469	---M--	200	added ('OK')	image/png	etag:%221945-62264406-409c675b1ff2ce09;;;%22	https://marketifythemes.net/html/dizme/img/brushes/about/1.png	marketifythemes.net/html/dizme/img/brushes/about/1.png	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:11	19406/19406	---M--	200	added ('OK')	image/png	etag:%224bce-62264407-27dba9e456b808f8;;;%22	https://marketifythemes.net/html/dizme/img/brushes/about/2.png	marketifythemes.net/html/dizme/img/brushes/about/2.png	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:12	1159/1159	---M--	200	added ('OK')	image/jpeg	etag:%22487-62264406-b07200ac8c648799;;;%22	https://marketifythemes.net/html/dizme/img/thumbs/42-56.jpg	marketifythemes.net/html/dizme/img/thumbs/42-56.jpg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:13	36983/36983	---M--	200	added ('OK')	image/jpeg	etag:%229077-62264403-fc929ef4f5517040;;;%22	https://marketifythemes.net/html/dizme/img/portfolio/1.jpg	marketifythemes.net/html/dizme/img/portfolio/1.jpg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:14	1150/1150	---M--	200	added ('OK')	image/jpeg	etag:%2247e-62264406-9dbc6f8b314a089a;;;%22	https://marketifythemes.net/html/dizme/img/thumbs/42-34.jpg	marketifythemes.net/html/dizme/img/thumbs/42-34.jpg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:15	21740/21740	---M--	200	added ('OK')	image/jpeg	etag:%2254ec-62264403-e055efb851f3d7dd;;;%22	https://marketifythemes.net/html/dizme/img/portfolio/2.jpg	marketifythemes.net/html/dizme/img/portfolio/2.jpg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:16	95620/95620	---M--	200	added ('OK')	image/jpeg	etag:%2217584-62264404-91d3b5b6ab6aa544;;;%22	https://marketifythemes.net/html/dizme/img/portfolio/3.jpg	marketifythemes.net/html/dizme/img/portfolio/3.jpg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:17	95645/95645	---M--	200	added ('OK')	image/jpeg	etag:%221759d-62264404-83dc87c3a650afe;;;%22	https://marketifythemes.net/html/dizme/img/portfolio/5.jpg	marketifythemes.net/html/dizme/img/portfolio/5.jpg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:18	32600/32600	---M--	200	added ('OK')	image/jpeg	etag:%227f58-62264404-eb618501c2c8e2c6;;;%22	https://marketifythemes.net/html/dizme/img/portfolio/4.jpg	marketifythemes.net/html/dizme/img/portfolio/4.jpg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:19	93666/93666	---M--	200	added ('OK')	image/jpeg	etag:%2216de2-62264404-3638f7924b0f677c;;;%22	https://marketifythemes.net/html/dizme/img/portfolio/6.jpg	marketifythemes.net/html/dizme/img/portfolio/6.jpg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:20	1127/1127	---M--	200	added ('OK')	image/jpeg	etag:%22467-62264406-576ea34f746d1d60;;;%22	https://marketifythemes.net/html/dizme/img/thumbs/4-2.jpg	marketifythemes.net/html/dizme/img/thumbs/4-2.jpg	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:21	32490/32490	---M--	200	added ('OK')	image/png	etag:%227eea-62264407-267050a19010d969;;;%22	https://marketifythemes.net/html/dizme/img/brushes/portfolio/1.png	marketifythemes.net/html/dizme/img/brushes/portfolio/1.png	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:22	75828/75828	---M--	200	added ('OK')	image/png	etag:%2212834-62264407-c3dd8eaaeccba085;;;%22	https://marketifythemes.net/html/dizme/img/brushes/portfolio/2.png	marketifythemes.net/html/dizme/img/brushes/portfolio/2.png	(from https://marketifythemes.net/html/dizme/index-dark.html)
02:54:23	77533/77533	---M--	200	added ('OK')	image/jpeg	etag:%2212edd-62264406-e3d6d39a29204fef;;;%22	https://marketifythemes.net/html/dizme/img/skills/2.jpg	marketifythemes.net/html/dizme/img/skills/2.jpg	(from https://marketifythemes.net/html/dizme/index-dark.html)
